Step,Intermediate (Substrate),Enzyme,EC,Gene,Product,Compound,Other Pathway Connections/Alternatives,aux_availible,shared_enzyme,shared_compound,pathway,step_in_pathway,shared_enzyme_amount,shared_compound_amount,shared_ec_list,shared_ec_count,shared_compound_list,shared_compound_count,
K7,"N‑Succinyl-L‑2,6‑diaminopimelate",N‑Succinyl diaminopimelate Desuccinylase,3.5.1.47,dapL,Diaminopimelate,C00666,–,FALSE,[],[],K,7,0,0,"['R02733', 'R02733', 'R02733', 'R02733']",4,"['R02735', 'R02734', 'R02733', 'R02735', 'R02733', 'R02734', 'R02735', 'R02734', 'R02735', 'R02733', 'R02733', 'R02734', 'R02735', 'R02735']",14,Bs
K8,Diaminopimelate,Diaminopimelate Epimerase,5.1.1.7,dapF,meso‑Diaminopimelate,C00680,–,FALSE,[],[],K,8,0,0,"['R02735', 'R02735', 'R02735', 'R02735', 'R02735', 'R02735']",6,"['R00451', 'R02735', 'R02788', 'R02735', 'R00451', 'R02735', 'R00451', 'R02735', 'R00451', 'R02735', 'R00451', 'R02788', 'R02735', 'R00451', 'R02788']",15,Bs
K9,meso‑Diaminopimelate,Diaminopimelate Decarboxylase,4.1.1.20,lysA,L‑Lysine,C00047,Final decarboxylation step.,TRUE,[],[],K,9,0,0,"['R00451', 'R00451', 'R00451', 'R00451', 'R00451', 'R00451']",6,"['R00451', 'R00460', 'R00461', 'R00451', 'R00451', 'R00460', 'R00451', 'R00451', 'R00460', 'R00461', 'R00451', 'R00460', 'R10699', 'R03658']",14,Bs
T0,Oxaloacetate,Aspartate Transaminase,2.6.1.1,aspB,L‑Aspartate,C00049,–,TRUE,"['K0', 'M0', 'I0', 'E2', 'Q3', 'P3', 'R3']","['K0', 'M0', 'I0']",T,0,7,3,"['R02619', 'R05052', 'R00895', 'R00355', 'R02433', 'R00734', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R02433', 'R02619', 'R00896', 'R00355', 'R05052', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",27,"['R00357', 'R00490', 'R00483', 'R00480', 'R01954', 'R04591', 'R01135', 'R00481', 'R00489', 'R00355', 'R00484', 'R00355', 'R01954', 'R00480', 'R04591', 'R00483', 'R00489', 'R00480', 'R00355', 'R00480', 'R00355', 'R00480', 'R00355', 'R00355', 'R01954', 'R00483', 'R01135', 'R00481', 'R00489', 'R01135', 'R01397', 'R04591', 'R01135', 'R01397', 'R00578', 'R00485', 'R00357', 'R00355', 'R01954', 'R01135', 'R00490', 'R01397', 'R00480', 'R00480', 'R00480', 'R01954', 'R00355', 'R00489', 'R00485', 'R00481', 'R00489', 'R00480', 'R05577']",53,Bs
T1,L‑Aspartate,Aspartokinase,2.7.2.4,lysC,Aspartyl‑phosphate,C03082,–,FALSE,"['K1', 'M1', 'I1']","['K1', 'M1', 'I1']",T,1,3,3,"['R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480']",9,"['R00480', 'R02291', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R00480']",17,Bs
T2,Aspartyl‑phosphate,Aspartate Semialdehyde Dehydrogenase,1.2.1.11,asd,Aspartate Semialdehyde,C00441,–,FALSE,"['K2', 'M2', 'I2']","['K2', 'M2', 'I2']",T,2,3,3,"['R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291']",8,"['R02291', 'R01773', 'R10147', 'R02291', 'R01773', 'R10147', 'R01773', 'R02291', 'R10147', 'R02291', 'R01773', 'R02291', 'R10147', 'R02291', 'R01773', 'R01773', 'R02291', 'R02291', 'R01773', 'R10147', 'R10147']",21,Bs
T3,Aspartate Semialdehyde,Homoserine Dehydrogenase,1.1.1.3,hom,Homoserine,C00263,Shared with methionine synthesis.,TRUE,"['M3', 'I3']","['M3', 'I3']",T,3,2,2,"['R01773', 'R01773', 'R01773', 'R01773', 'R01773', 'R01773', 'R01773']",7,"['R01773', 'R01771', 'R01776', 'R01777', 'R01773', 'R01777', 'R01771', 'R01771', 'R01773', 'R01771', 'R01773', 'R01777', 'R01777', 'R01771', 'R01773', 'R01776', 'R01777', 'R01773', 'R01771', 'R01773']",20,Bs
T4,Homoserine,Homoserine Kinase,2.7.1.39,thrB,O‑Phosphohomoserine,C01102,–,TRUE,['I4'],['I4'],T,4,1,1,"['R01771', 'R01771', 'R01771', 'R01771', 'R01771', 'R01771']",6,"['R01771', 'R01466', 'R01771', 'R01466', 'R01466', 'R01771', 'R01466', 'R01771', 'R01466', 'R01771', 'R01771']",11,Bs
T5,O‑Phosphohomoserine,Threonine Synthase,4.2.3.1,thrC,L‑Threonine,C00188,Final step in threonine biosynthesis.,TRUE,['I5'],['I5'],T,5,1,1,"['R01466', 'R01466', 'R01466', 'R01466', 'R01466', 'R05086']",6,"['R01466', 'R00996', 'R01465', 'R00996', 'R01466', 'R01466', 'R00996', 'R01466', 'R00996', 'R01466', 'R01465', 'R00996', 'R03663']",13,Bs
M0,Oxaloacetate,Aspartate Transaminase,2.6.1.1,aspB,L‑Aspartate,C00049,–,TRUE,"['K0', 'T0', 'I0', 'E2', 'Q3', 'P3', 'R3']","['K0', 'T0', 'I0']",M,0,7,3,"['R02619', 'R05052', 'R00895', 'R00355', 'R02433', 'R00734', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R02433', 'R02619', 'R00896', 'R00355', 'R05052', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",27,"['R00357', 'R00490', 'R00483', 'R00480', 'R01954', 'R04591', 'R01135', 'R00481', 'R00489', 'R00355', 'R00484', 'R00355', 'R01954', 'R00480', 'R04591', 'R00483', 'R00489', 'R00480', 'R00355', 'R00480', 'R00355', 'R00480', 'R00355', 'R00355', 'R01954', 'R00483', 'R01135', 'R00481', 'R00489', 'R01135', 'R01397', 'R04591', 'R01135', 'R01397', 'R00578', 'R00485', 'R00357', 'R00355', 'R01954', 'R01135', 'R00490', 'R01397', 'R00480', 'R00480', 'R00480', 'R01954', 'R00355', 'R00489', 'R00485', 'R00481', 'R00489', 'R00480', 'R05577']",53,Bs
M1,L‑Aspartate,Aspartokinase,2.7.2.4,lysC,Aspartyl‑phosphate,C03082,–,FALSE,"['K1', 'T1', 'I1']","['K1', 'T1', 'I1']",M,1,3,3,"['R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480']",9,"['R00480', 'R02291', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R00480']",17,Bs
M2,Aspartyl‑phosphate,Aspartate Semialdehyde Dehydrogenase,1.2.1.11,asd,Aspartate Semialdehyde,C00441,–,FALSE,"['K2', 'T2', 'I2']","['K2', 'T2', 'I2']",M,2,3,3,"['R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291']",8,"['R02291', 'R01773', 'R10147', 'R02291', 'R01773', 'R10147', 'R01773', 'R02291', 'R10147', 'R02291', 'R01773', 'R02291', 'R10147', 'R02291', 'R01773', 'R01773', 'R02291', 'R02291', 'R01773', 'R10147', 'R10147']",21,Bs
M3,Aspartate Semialdehyde,Homoserine Dehydrogenase,1.1.1.3,hom,Homoserine,C00263,Shared with methionine synthesis.,TRUE,"['T3', 'I3']","['T3', 'I3']",M,3,2,2,"['R01773', 'R01773', 'R01773', 'R01773', 'R01773', 'R01773', 'R01773']",7,"['R01773', 'R01771', 'R01776', 'R01777', 'R01773', 'R01777', 'R01771', 'R01771', 'R01773', 'R01771', 'R01773', 'R01777', 'R01777', 'R01771', 'R01773', 'R01776', 'R01777', 'R01773', 'R01771', 'R01773']",20,Bs
M4,Homoserine,Homoserine O‑Succinyltransferase,2.3.1.46,metA,O‑Succinylhomoserine,C01118,Diverts homoserine into the methionine branch.,TRUE,[],[],M,4,0,0,"['R01777', 'R01777', 'R01777', 'R01777', 'R01777']",5,"['R03260', 'R01777', 'R00999', 'R01288', 'R01777', 'R03260', 'R01777', 'R03260', 'R01288', 'R01777', 'R01288', 'R01777', 'R03260', 'R00999']",14,Bs
M5,O‑Succinylhomoserine,Cystathionine γ‑Synthase,4.4.1.13,yjcI,Cystathionine,C02291,–,FALSE,[],[],M,5,0,0,"['R00782', 'R01286', 'R02408', 'R04941', 'R01286', 'R01286', 'R01286', 'R02408', 'R02408', 'R00782', 'R00782', 'R04941']",12,"['R03217', 'R03260', 'R01001', 'R01286', 'R03260', 'R01286', 'R01001', 'R03260', 'R01001', 'R01286', 'R10305', 'R01001', 'R01001', 'R01286', 'R03260', 'R03217', 'R10305', 'R01001']",18,Bs
M6,Cystathionine,Cystathionine β‑Lyase,4.4.1.8,yjcJ,Homocysteine,C00155,–,FALSE,[],[],M,6,0,0,[],0,"['R01288', 'R00946', 'R01287', 'R01286', 'R01291', 'R00946', 'R01283', 'R01286', 'R00946', 'R01286', 'R00946', 'R10305', 'R01291', 'R01283', 'R01288', 'R00946', 'R01286', 'R04405', 'R11063', 'R01291', 'R01288', 'R10305', 'R00946', 'R00946', 'R11063']",25,Bs
M7,Homocysteine,Methionine Synthase,2.1.1.14,metE,L‑Methionine,C00073,(Alternate isoenzyme: metH may also function.),TRUE,[],[],M,7,0,0,"['R09365', 'R04405', 'R09365']",3,"['R00946', 'R00648', 'R00177', 'R09394', 'R03472', 'R00946', 'R02025', 'R00946', 'R00177', 'R00946', 'R00177', 'R09394', 'R00177', 'R03472', 'R02025', 'R00946', 'R04405', 'R00177', 'R03472', 'R09394', 'R00946', 'R00946', 'R00177', 'R00177', 'R03659']",25,Bs
I0,Oxaloacetate,Aspartate Transaminase,2.6.1.1,aspB,L‑Aspartate,C00049,–,TRUE,"['K0', 'T0', 'M0', 'E2', 'Q3', 'P3', 'R3']","['K0', 'T0', 'M0']",I,0,7,3,"['R02619', 'R05052', 'R00895', 'R00355', 'R02433', 'R00734', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R02433', 'R02619', 'R00896', 'R00355', 'R05052', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",27,"['R00357', 'R00490', 'R00483', 'R00480', 'R01954', 'R04591', 'R01135', 'R00481', 'R00489', 'R00355', 'R00484', 'R00355', 'R01954', 'R00480', 'R04591', 'R00483', 'R00489', 'R00480', 'R00355', 'R00480', 'R00355', 'R00480', 'R00355', 'R00355', 'R01954', 'R00483', 'R01135', 'R00481', 'R00489', 'R01135', 'R01397', 'R04591', 'R01135', 'R01397', 'R00578', 'R00485', 'R00357', 'R00355', 'R01954', 'R01135', 'R00490', 'R01397', 'R00480', 'R00480', 'R00480', 'R01954', 'R00355', 'R00489', 'R00485', 'R00481', 'R00489', 'R00480', 'R05577']",53,Bs
I1,L‑Aspartate,Aspartokinase,2.7.2.4,lysC,Aspartyl‑phosphate,C03082,–,FALSE,"['K1', 'T1', 'M1']","['K1', 'T1', 'M1']",I,1,3,3,"['R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480']",9,"['R00480', 'R02291', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R00480']",17,Bs
I2,Aspartyl‑phosphate,Aspartate Semialdehyde Dehydrogenase,1.2.1.11,asd,Aspartate Semialdehyde,C00441,–,FALSE,"['K2', 'T2', 'M2']","['K2', 'T2', 'M2']",I,2,3,3,"['R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291']",8,"['R02291', 'R01773', 'R10147', 'R02291', 'R01773', 'R10147', 'R01773', 'R02291', 'R10147', 'R02291', 'R01773', 'R02291', 'R10147', 'R02291', 'R01773', 'R01773', 'R02291', 'R02291', 'R01773', 'R10147', 'R10147']",21,Bs
I3,Aspartate Semialdehyde,Homoserine Dehydrogenase,1.1.1.3,hom,Homoserine,C00263,Shared with methionine synthesis.,TRUE,"['T3', 'M3']","['T3', 'M3']",I,3,2,2,"['R01773', 'R01773', 'R01773', 'R01773', 'R01773', 'R01773', 'R01773']",7,"['R01773', 'R01771', 'R01776', 'R01777', 'R01773', 'R01777', 'R01771', 'R01771', 'R01773', 'R01771', 'R01773', 'R01777', 'R01777', 'R01771', 'R01773', 'R01776', 'R01777', 'R01773', 'R01771', 'R01773']",20,Bs
I4,Homoserine,Homoserine Kinase,2.7.1.39,thrB,O‑Phosphohomoserine,C01102,–,TRUE,['T4'],['T4'],I,4,1,1,"['R01771', 'R01771', 'R01771', 'R01771', 'R01771', 'R01771']",6,"['R01771', 'R01466', 'R01771', 'R01466', 'R01466', 'R01771', 'R01466', 'R01771', 'R01466', 'R01771', 'R01771']",11,Bs
I5,O‑Phosphohomoserine,Threonine Synthase,4.2.3.1,thrC,L‑Threonine,C00188,Final step in threonine biosynthesis.,TRUE,['T5'],['T5'],I,5,1,1,"['R01466', 'R01466', 'R01466', 'R01466', 'R01466', 'R05086']",6,"['R01466', 'R00996', 'R01465', 'R00996', 'R01466', 'R01466', 'R00996', 'R01466', 'R00996', 'R01466', 'R01465', 'R00996', 'R03663']",13,Bs
I6,L‑Threonine,Threonine Deaminase,4.3.1.19,ilvA,2‑Oxobutyrate,C00109,Diverts threonine from protein synthesis.,TRUE,[],['W12'],I,6,0,1,"['R00220', 'R00996', 'R00220', 'R00996', 'R00220', 'R00996', 'R00220', 'R00996', 'R00220', 'R00220', 'R00996']",11,"['R00999', 'R01001', 'R00996', 'R08648', 'R00994', 'R10991', 'R10996', 'R01283', 'R00996', 'R08648', 'R01001', 'R00994', 'R08648', 'R10991', 'R00994', 'R08648', 'R00996', 'R01001', 'R01000', 'R10996', 'R00994', 'R01283', 'R01001', 'R00996', 'R01001', 'R00999', 'R10991', 'R00994', 'R00996', 'R08648', 'R01001']",31,Bs
I7,2‑Oxobutyrate + Pyruvate,Acetolactate Synthase,2.2.1.6,ilvB,2‑Aceto‑2‑hydroxybutyrate,C06006,Also functions in valine synthesis.,TRUE,[],[],I,7,0,0,"['R08648', 'R00226', 'R00226', 'R08648', 'R00226', 'R08648', 'R00226', 'R08648', 'R00014', 'R00014', 'R00014', 'R00226', 'R00226', 'R00226', 'R08648', 'R00226', 'R00014']",17,"['R08648', 'R08648', 'R05069', 'R05069', 'R08648', 'R08648', 'R05069', 'R08648']",8,Bs
I8,2‑Aceto‑2‑hydroxybutyrate,Acetohydroxyacid Isomeroreductase,1.1.1.86,ilvC,"2,3‑Dihydroxy-3‑methylpentanoate",C06007,–,TRUE,"['V0', 'L0']",[],I,8,2,0,"['R05071', 'R04440', 'R05069', 'R05068', 'R05071', 'R04440', 'R05068', 'R05069', 'R05068', 'R05069', 'R05071', 'R04440', 'R04439']",13,"['R05070', 'R05068', 'R05070', 'R05070', 'R05068', 'R05070', 'R05068', 'R05070']",8,Bs
I9,"2,3‑Dihydroxy-3‑methylpentanoate",Dihydroxyacid Dehydratase,4.2.1.9,ilvD,3‑Methyl-2-oxopentanoate,C00671,–,TRUE,"['V1', 'L1']",[],I,9,2,0,"['R05070', 'R04441', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441']",11,"['R05070', 'R02196', 'R04225', 'R05070', 'R02196', 'R02199', 'R05070', 'R03171', 'R05070', 'R02199', 'R07603', 'R02199', 'R02199', 'R05070', 'R02196']",15,Bs
I10,3‑Methyl-2-oxopentanoate,Aminotransferase,2.6.1.42,ybgE/ywaA,L‑Isoleucine,C00407,Final transamination step.,FALSE,"['V2', 'L5']",[],I,10,2,0,"['R01214', 'R10991', 'R01214', 'R01214', 'R01090', 'R02199', 'R10991', 'R01214', 'R02199', 'R01090', 'R01214', 'R10991', 'R01214', 'R02199', 'R01090', 'R02199', 'R01090', 'R01214', 'R01214']",19,"['R02196', 'R02196', 'R02199', 'R02199', 'R02199', 'R02199', 'R02196', 'R03656']",8,Bs
V0,Acetolactate,Acetohydroxyacid Isomeroreductase,1.1.1.86,ilvC,"2,3‑Dihydroxy-isovalerate",C04272,–,TRUE,"['I8', 'L0']",['L0'],V,0,2,1,"['R05071', 'R04440', 'R05069', 'R05068', 'R05071', 'R04440', 'R05068', 'R05069', 'R05068', 'R05069', 'R05071', 'R04440', 'R04439']",13,"['R04441', 'R04440', 'R04441', 'R04440', 'R04441', 'R04441', 'R04441', 'R04440', 'R04441', 'R04439']",10,Bs
V1,"2,3‑Dihydroxy-isovalerate",Dihydroxyacid Dehydratase,4.2.1.9,ilvD,3-Methyl-2-oxobutanoic acid,C00141,–,TRUE,"['I9', 'L1']",['L1'],V,1,2,1,"['R05070', 'R04441', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441']",11,"['R04441', 'R01213', 'R01214', 'R01226', 'R01701', 'R04441', 'R01214', 'R01226', 'R01213', 'R04441', 'R01214', 'R01213', 'R01210', 'R04441', 'R01214', 'R01213', 'R01214', 'R01226', 'R01213', 'R01214', 'R07599', 'R01213', 'R01214', 'R04441', 'R01434', 'R01226', 'R04441', 'R01214']",28,Bs
V2,3-Methyl-2-oxobutanoic acid,Aminotransferase,2.6.1.42,ybgE/ywaA,L‑Valine,C00183,Typically uses glutamate as the amino donor.,FALSE,"['I10', 'L5']",[],V,2,2,0,"['R01214', 'R10991', 'R01214', 'R01214', 'R01090', 'R02199', 'R10991', 'R01214', 'R02199', 'R01090', 'R01214', 'R10991', 'R01214', 'R02199', 'R01090', 'R02199', 'R01090', 'R01214', 'R01214']",19,"['R01214', 'R01214', 'R01214', 'R01214', 'R01214', 'R01214', 'R01214', 'R01434', 'R01214', 'R03665']",10,Bs
L0,Acetolactate,Acetohydroxyacid Isomeroreductase,1.1.1.86,ilvC,"2,3‑Dihydroxy-isovalerate",C04272,–,TRUE,"['I8', 'V0']",['V0'],L,0,2,1,"['R05071', 'R04440', 'R05069', 'R05068', 'R05071', 'R04440', 'R05068', 'R05069', 'R05068', 'R05069', 'R05071', 'R04440', 'R04439']",13,"['R04441', 'R04440', 'R04441', 'R04440', 'R04441', 'R04441', 'R04441', 'R04440', 'R04441', 'R04439']",10,Bs
L1,"2,3‑Dihydroxy-isovalerate",Dihydroxyacid Dehydratase,4.2.1.9,ilvD,3-Methyl-2-oxobutanoic acid,C00141,–,TRUE,"['I9', 'V1']",['V1'],L,1,2,1,"['R05070', 'R04441', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441', 'R05070', 'R04441']",11,"['R04441', 'R01213', 'R01214', 'R01226', 'R01701', 'R04441', 'R01214', 'R01226', 'R01213', 'R04441', 'R01214', 'R01213', 'R01210', 'R04441', 'R01214', 'R01213', 'R01214', 'R01226', 'R01213', 'R01214', 'R07599', 'R01213', 'R01214', 'R04441', 'R01434', 'R01226', 'R04441', 'R01214']",28,Bs
L2,3-Methyl-2-oxobutanoic acid,Isopropylmalate Synthase,2.3.3.13,leuA,2‑Isopropylmalate,C02504,First step unique to leucine synthesis.,TRUE,[],[],L,2,0,0,"['R01213', 'R01213', 'R01213', 'R01213', 'R01213', 'R01213']",6,"['R01213', 'R03968', 'R01213', 'R03968', 'R01213', 'R10170', 'R01213', 'R10170', 'R01213', 'R03968', 'R01213']",11,Bs
L3,2‑Isopropylmalate,Isopropylmalate Isomerase,5.3.3.2,leuC/leuD,3‑Isopropylmalate,C04411,Functions as a heterodimer (LeuC and LeuD).,TRUE,[],[],L,3,0,0,"['R01123', 'R01123', 'R01123']",3,"['R04426', 'R04001', 'R04426', 'R10052', 'R04001', 'R04426', 'R10170', 'R10170', 'R10052', 'R04426', 'R04001']",11,Bs
L4,3‑Isopropylmalate,Isopropylmalate Dehydrogenase,1.1.1.85,leuB,4‑Methyl‑2‑oxopentanoate,C00233,–,TRUE,[],[],L,4,0,0,"['R04426', 'R00994', 'R04426', 'R00994', 'R10052', 'R04426', 'R01652', 'R00994', 'R10052', 'R00994', 'R00994', 'R04426']",12,"['R01088', 'R01088', 'R10052', 'R01090', 'R01652', 'R01651', 'R10052', 'R01090', 'R01088', 'R07601', 'R01090', 'R01090', 'R01088']",13,Bs
L5,4‑Methyl‑2‑oxopentanoate,Aminotransferase,2.6.1.42,ybgE/ywaA,L‑Leucine,C00123,Final transamination step.,FALSE,"['I10', 'V2']",[],L,5,2,0,"['R01214', 'R10991', 'R01214', 'R01214', 'R01090', 'R02199', 'R10991', 'R01214', 'R02199', 'R01090', 'R01214', 'R10991', 'R01214', 'R02199', 'R01090', 'R02199', 'R01090', 'R01214', 'R01214']",19,"['R01088', 'R01088', 'R01090', 'R01090', 'R01088', 'R01090', 'R01090', 'R01088', 'R03657']",9,Bs
A0,Oxaloacetate + Acetyl‑CoA,Citrate Synthase,2.3.3.1,citA,Citrate,C00158,First step of the TCA cycle.,FALSE,"['Q0', 'P0', 'R0']","['Q0', 'P0', 'R0']",A,0,3,3,"['R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351']",10,"['R00351', 'R01325', 'R01324', 'R00351', 'R00351', 'R00351', 'R01324', 'R00351', 'R01325', 'R01324', 'R00351', 'R01324', 'R01325', 'R00351', 'R00351', 'R01325', 'R00351', 'R00351', 'R01325']",19,Bs
E0,Citrate,Aconitase,4.2.1.3,citB,Isocitrate,C00311,–,TRUE,"['Q1', 'P1', 'R1']","['Q1', 'P1', 'R1']",E,0,3,3,"['R01900', 'R01325', 'R01324', 'R01324', 'R01325', 'R01900', 'R01324', 'R01324', 'R01900', 'R01325', 'R01900', 'R01325', 'R01900', 'R01325']",14,"['R01899', 'R00267', 'R01900', 'R01324', 'R01899', 'R01899', 'R00267', 'R00267', 'R01324', 'R01900', 'R01899', 'R01324', 'R00709', 'R01324', 'R00267', 'R01899', 'R01900', 'R01900', 'R00267', 'R01900', 'R00267']",21,Bs
E1,Isocitrate,Isocitrate Dehydrogenase,1.1.1.42,icd,α‑Ketoglutarate,C00026,Generates NADPH.,TRUE,"['Q2', 'P2', 'R2']","['Q2', 'P2', 'R2']",E,1,3,3,"['R01899', 'R00268', 'R00267', 'R01899', 'R00268', 'R01899', 'R00268', 'R00267', 'R00267', 'R01899', 'R00268', 'R00267', 'R00268', 'R01899', 'R00267', 'R00267']",16,"['R00268', 'R01648', 'R00093', 'R04173', 'R02619', 'R04475', 'R05052', 'R00667', 'R03243', 'R02283', 'R01214', 'R01148', 'R01684', 'R08165', 'R00895', 'R05085', 'R08549', 'R00267', 'R00355', 'R00258', 'R04467', 'R10991', 'R00264', 'R00269', 'R02433', 'R02274', 'R10698', 'R01197', 'R00268', 'R00734', 'R00355', 'R00667', 'R02283', 'R00093', 'R08165', 'R01214', 'R03243', 'R04467', 'R10698', 'R04173', 'R00268', 'R00267', 'R08549', 'R04173', 'R00021', 'R04475', 'R01648', 'R00243', 'R02274', 'R00267', 'R04173', 'R08549', 'R00355', 'R00355', 'R00268', 'R00709', 'R02283', 'R01214', 'R01090', 'R02199', 'R08549', 'R10991', 'R01214', 'R02199', 'R01090', 'R04173', 'R00355', 'R00267', 'R00355', 'R02283', 'R04475', 'R04467', 'R00114', 'R03243', 'R05085', 'R01214', 'R08165', 'R00621', 'R00268', 'R11768', 'R00908', 'R01648', 'R00267', 'R04173', 'R00114', 'R00243', 'R00355', 'R00114', 'R00243', 'R01648', 'R00269', 'R04173', 'R02433', 'R02619', 'R00896', 'R10991', 'R04173', 'R01214', 'R02199', 'R04188', 'R01090', 'R02199', 'R01090', 'R01214', 'R04467', 'R04475', 'R02274', 'R00243', 'R02283', 'R00355', 'R00667', 'R05052', 'R03243', 'R00734', 'R00734', 'R00694', 'R00694', 'R01582', 'R00694', 'R00734', 'R00694', 'R00734', 'R00908', 'R00243', 'R01148', 'R01582', 'R00267', 'R05085', 'R01214', 'R00621', 'R08165', 'R00734', 'R00734', 'R10698']",134,Bs
E2,α‑Ketoglutarate,Aspartate Aminotransferase,2.6.1.1,yhdR/aspB,L‑Glutamate,C00025,Reversible amination reaction.,TRUE,"['K0', 'T0', 'M0', 'I0', 'Q3', 'P3', 'R3']","['Q3', 'P3', 'R3']",E,2,7,3,"['R02619', 'R05052', 'R00895', 'R00355', 'R02433', 'R00734', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R02433', 'R02619', 'R00896', 'R00355', 'R05052', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",27,"['R00768', 'R01648', 'R04173', 'R02619', 'R04475', 'R05052', 'R00667', 'R04558', 'R03243', 'R02285', 'R00239', 'R00259', 'R02283', 'R01214', 'R04463', 'R00575', 'R00494', 'R00260', 'R01684', 'R02237', 'R00253', 'R00895', 'R05085', 'R03651', 'R03905', 'R00355', 'R00258', 'R04467', 'R10991', 'R00251', 'R02433', 'R02274', 'R00245', 'R03916', 'R01072', 'R10698', 'R10089', 'R00734', 'R00355', 'R01072', 'R04463', 'R00667', 'R02283', 'R00259', 'R01214', 'R04558', 'R03243', 'R04467', 'R10698', 'R00239', 'R04173', 'R00253', 'R00575', 'R04173', 'R00253', 'R04475', 'R01648', 'R00243', 'R02274', 'R04173', 'R00355', 'R00355', 'R00259', 'R02283', 'R01214', 'R01090', 'R02199', 'R10991', 'R01214', 'R02199', 'R01090', 'R04173', 'R00355', 'R00355', 'R00259', 'R02283', 'R00239', 'R00253', 'R04475', 'R04467', 'R03243', 'R04558', 'R00768', 'R05085', 'R01214', 'R02237', 'R04241', 'R00942', 'R05578', 'R00575', 'R10089', 'R00768', 'R00253', 'R00908', 'R01648', 'R04173', 'R00253', 'R00243', 'R01072', 'R04463', 'R00575', 'R00578', 'R00355', 'R00243', 'R01648', 'R00253', 'R00256', 'R00575', 'R00707', 'R00768', 'R01072', 'R04173', 'R02433', 'R02619', 'R10991', 'R04173', 'R01214', 'R02199', 'R04188', 'R01090', 'R02199', 'R01090', 'R01214', 'R04467', 'R04475', 'R02274', 'R00243', 'R02282', 'R02283', 'R00259', 'R00253', 'R00256', 'R00355', 'R00575', 'R00667', 'R00245', 'R00239', 'R05052', 'R02285', 'R03243', 'R04558', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00908', 'R00243', 'R03970', 'R03971', 'R00260', 'R03916', 'R00494', 'R00251', 'R10089', 'R05085', 'R01214', 'R04241', 'R00942', 'R02237', 'R02237', 'R00239', 'R00734', 'R00734', 'R10698', 'R03905', 'R03651', 'R04212', 'R05578']",172,Bs
Q0,Oxaloacetate + Acetyl‑CoA,Citrate Synthase,2.3.3.1,citA,Citrate,C00158,First step of the TCA cycle.,FALSE,"['A0', 'P0', 'R0']","['A0', 'P0', 'R0']",Q,0,3,3,"['R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351']",10,"['R00351', 'R01325', 'R01324', 'R00351', 'R00351', 'R00351', 'R01324', 'R00351', 'R01325', 'R01324', 'R00351', 'R01324', 'R01325', 'R00351', 'R00351', 'R01325', 'R00351', 'R00351', 'R01325']",19,Bs
